conversation_id,data_type,parameter_tested,success,result_value,evidence,total_latency,parameter_name,model_name,timestamp,transcript_length,response_length,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type2b,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.00961208343506,,,,,,,,,,,,
c5255fb4-39de-420a-b167-50cb0969101e,type2b,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01708579063416,,,,,,,,,,,,
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type2b,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?', 'Thank you for being on hold', or 'Kya mein aapki call ko hold pe rak saktha'. The call was handled smoothly without any hold statements.",3.2880032062530518,Hold,Server3_OpenChat_Mistral,2025-10-11T23:28:36.312294,2994.0,269.0,975.0,73.0,1048.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type2b,HOLD,False,Parse Error,Failed to parse JSON,2.3733959197998047,,,,,,,,,,,,
c977f98b-fbdf-4cc8-8038-54aaae125b01,type2b,HOLD,False,Parse Error,Failed to parse JSON,1.9040577411651611,,,,,,,,,,,,
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type2b,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.00893902778625,,,,,,,,,,,,
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type2b,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?', 'Thank you for being on hold', or 'Kya mein aapki call ko hold pe rak saktha'.",2.9010419845581055,Hold,Server3_OpenChat_Mistral,2025-10-11T23:30:47.522226,1506.0,210.0,522.0,64.0,586.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type2b,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?' or 'Thank you for being on hold'. However, the agent used a statement in Hindi which could be considered as a hold statement: 'क्या مैं आपकी कॉल होल पे रख सकता'.",4.526659250259399,Hold,Server3_OpenChat_Mistral,2025-10-11T23:30:53.054210,3959.0,292.0,1201.0,99.0,1300.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
cb78f5f4-596b-4df6-b858-6c6910d8a157,type2b,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.00912976264954,,,,,,,,,,,,
ccab463f-cd92-48c0-b153-6ef0784dbe96,type2b,HOLD,True,Not Met,"The agent used hold statements like 'May I place your call on hold for X minutes?' and 'Thank you for being on hold', but did not use the Hindi phrase 'क्या मैं आपकी कॉल को होल पे रख सकता'.",4.178225994110107,Hold,Server3_OpenChat_Mistral,2025-10-11T23:32:59.252727,6378.0,226.0,1767.0,89.0,1856.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
