conversation_id,data_type,parameter_tested,success,result_value,evidence,total_latency,parameter_name,model_name,timestamp,transcript_length,response_length,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.02010178565979,,,,,,,,,,,,
c5255fb4-39de-420a-b167-50cb0969101e,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.0236508846283,,,,,,,,,,,,
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type2b,CLOSING,True,Met,"Agent asked if there's anything else to help with, asked to share feedback, closed with proper greetings, and asked customer to end call politely.",2.2275431156158447,Closing,Server3_OpenChat_Mistral,2025-10-11T22:35:19.281055,2994.0,179.0,975.0,46.0,1021.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type2b,CLOSING,True,Not Met,"The agent did not ask if there's anything else to help with, did not ask to share feedback, and did not close with proper greetings. The agent also did not ask the customer to end the call politely.",2.8023457527160645,Closing,Server3_OpenChat_Mistral,2025-10-11T22:35:23.085457,3693.0,235.0,1197.0,61.0,1258.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c977f98b-fbdf-4cc8-8038-54aaae125b01,type2b,CLOSING,False,Parse Error,Failed to parse JSON,3.4895079135894775,,,,,,,,,,,,
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.02982187271118,,,,,,,,,,,,
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type2b,CLOSING,True,Met,"The agent asked if there was anything else to help with, asked for feedback, closed with proper greetings, and asked the customer to end the call politely.",2.068571090698242,Closing,Server3_OpenChat_Mistral,2025-10-11T22:37:31.679069,1506.0,188.0,522.0,47.0,569.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01305603981018,,,,,,,,,,,,
cb78f5f4-596b-4df6-b858-6c6910d8a157,type2b,CLOSING,True,Not Met,"The agent did not ask if there was anything else to help with, did not ask to share feedback, did not close with proper greetings, and did not ask the customer to end the call politely.",3.3415942192077637,Closing,Server3_OpenChat_Mistral,2025-10-11T22:39:37.041472,4722.0,222.0,4026.0,57.0,4083.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ccab463f-cd92-48c0-b153-6ef0784dbe96,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01273202896118,,,,,,,,,,,,
ccbe8e52-e722-4e07-ae5d-911deecc74ba,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.01211285591125,,,,,,,,,,,,
cce5e904-3527-47b4-899a-e786146bf831,type2b,CLOSING,True,Not Met,"Agent did not ask if there's anything else to help with, did not ask to share feedback, did not close with proper greetings, and did not ask customer to end call politely.",2.5298922061920166,Closing,Server3_OpenChat_Mistral,2025-10-11T22:43:42.614185,3420.0,208.0,1112.0,55.0,1167.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
cde5ab35-a786-4335-8d9e-303b22ca16be,type2b,CLOSING,True,Met,"Agent asked if there's anything else to help with, asked to share feedback, closed with proper greetings, and asked customer to end call politely.",2.3437910079956055,Closing,Server3_OpenChat_Mistral,2025-10-11T22:43:45.963585,2903.0,179.0,2011.0,46.0,2057.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
cf1a397b-609b-45d2-b8c1-142cc7e77906,type2b,CLOSING,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=120)",120.02364540100098,,,,,,,,,,,,
