conversation_id,data_type,parameter_tested,parameter_name,model_name,timestamp,success,result_value,evidence,transcript_length,response_length,total_latency,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T01:36:19.794188,True,Met,"The agent analyzed the user's request regarding Cred cash, repayment issue, and credit cash balance. The agent provided solutions, requested for bank statement, and informed about the unavailability of credit cash feature due to changes in lending partners. The agent also asked for user's feedback at the end of the conversation.",7639.0,363.0,3.9135701656341553,1885.0,81.0,1966.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c5255fb4-39de-420a-b167-50cb0969101e,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T01:36:24.469605,True,Met,The agent addressed the customer's concern about the payment of ###rupees and provided information about the transaction. The agent also checked the customer's statement and confirmed that there was no deduction on the name of the credit application. The agent apologized for the inconvenience and offered assistance in case of any other concerns.,2549.0,382.0,3.673196792602539,743.0,84.0,827.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type1,FURTHER_ASSISTANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0332310199738,,,,,,,
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T01:46:28.313088,True,Met,"The agent asked if there was anything else they could assist with, and the customer did not mention any further issues.",3510.0,152.0,1.7971773147583008,1003.0,36.0,1039.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c977f98b-fbdf-4cc8-8038-54aaae125b01,type1,FURTHER_ASSISTANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0074739456177,,,,,,,
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T01:56:31.966104,True,Not Met,Agent did not ask for further assistance but provided assistance and forwarded the concern to the support team.,937.0,148.0,1.6370539665222168,380.0,34.0,414.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type1,FURTHER_ASSISTANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0104601383209,,,,,,,
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type1,FURTHER_ASSISTANCE,,,,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",,,600.0297050476074,,,,,,,
cb78f5f4-596b-4df6-b858-6c6910d8a157,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T02:16:37.071564,True,Met,The user expressed dissatisfaction with the delivery process and requested further assistance.,4539.0,127.0,2.0538082122802734,3831.0,28.0,3859.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
ccab463f-cd92-48c0-b153-6ef0784dbe96,type1,FURTHER_ASSISTANCE,Further Assistance,Server3_OpenChat_Mistral,2025-10-12T02:16:40.017838,True,Not Met,"The agent did not ask for further assistance, but the customer mentioned they will not use the services anymore and ended the call.",6186.0,168.0,1.9409711360931396,1564.0,39.0,1603.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
