conversation_id,data_type,parameter_tested,success,result_value,evidence,total_latency,parameter_name,model_name,timestamp,transcript_length,response_length,prompt_tokens,completion_tokens,total_tokens,api_temperature,api_max_tokens,api_endpoint,model_version
c4a380c6-2e7e-4bc3-93da-7ee864105ba3,type1,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",600.047730922699,,,,,,,,,,,,
c5255fb4-39de-420a-b167-50cb0969101e,type1,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?', 'Thank you for being on hold', or 'Kya mein aapki call ko hold pe rak saktha'. Therefore, the criteria were not met.",3.2529518604278564,Hold,Server3_OpenChat_Mistral,2025-10-11T23:55:06.584094,2549.0,248.0,755.0,71.0,826.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c61d0420-a312-412d-afdb-84d7f3e0c9dd,type1,HOLD,True,Not Met,The agent did not use any hold statements during the call.,1.2768282890319824,Hold,Server3_OpenChat_Mistral,2025-10-11T23:55:08.861633,2847.0,95.0,830.0,26.0,856.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
c82a3322-e1f6-482e-af70-66d6aee9c8c8,type1,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",600.0293898582458,,,,,,,,,,,,
c977f98b-fbdf-4cc8-8038-54aaae125b01,type1,HOLD,False,Parse Error,Failed to parse JSON,23.79761505126953,,,,,,,,,,,,
c9d3573f-7ca1-4865-b3e7-19ba00e56aef,type1,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",600.026449918747,,,,,,,,,,,,
ca0b3e5b-5544-4cff-9e75-eeee8c78f755,type1,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?', 'Thank you for being on hold', or 'Kya mein aapki call ko hold pe rak saktha'. Instead, the agent provided information and explained the process without placing the user on hold.",3.5315070152282715,Hold,Server3_OpenChat_Mistral,2025-10-12T00:15:40.282225,1461.0,310.0,478.0,80.0,558.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
caeeb01c-ff64-4fbf-99e9-f28eb2435dd9,type1,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",600.0165510177612,,,,,,,,,,,,
cb78f5f4-596b-4df6-b858-6c6910d8a157,type1,HOLD,False,API Error,"HTTPConnectionPool(host='27.111.72.53', port=3333): Read timed out. (read timeout=600)",600.0190200805664,,,,,,,,,,,,
ccab463f-cd92-48c0-b153-6ef0784dbe96,type1,HOLD,True,Not Met,"The agent did not use any hold statements like 'May I place your call on hold for X minutes?', 'Thank you for being on hold', or 'Kya mein aapki call ko hold pe rak sakta'. However, the agent did place the user on hold at least once during the call.",3.783632755279541,Hold,Server3_OpenChat_Mistral,2025-10-12T00:35:47.126421,6186.0,286.0,1576.0,80.0,1656.0,0.1,512.0,http://27.111.72.53:3333/v1/chat/completions,openchat/openchat-3.5-1210
