id,transcripts
d56bb8ce-ea66-48d3-ac32-be846a858ffa,"afternoon this is दक्षित. I'm here to assist you today. Am I speaking with जी? Ma'am, I have to know about the last my last bill which is paid on sorry ### Ok. Please amount  I have to know the last date of that Please  over the call let me check the details. against which credit card you have to know about it. I can see multiple credit card that is access SBI Yes yes this is 1 I think it is related Axis card. card ending with double ###. Yeah, double ###. The last bill which   was paid of ####. I think it was paid from my Axis Bank का Yes,   exactly. I have to know because I was paid on  ###. But I have to know what was the last bill date मतलब what was the last date of paying the amount of that Please stay over the call. You have paid on second of February and the due date was also second of sorry. Please give the due date also second of sure and I have paid  second of sure. Ok ma'am. Thank you for detail  1 the thing is that I have to know about it. I have to worry about No issues. Ok, that's  all So is there any credit support and what and I have to give the vision support the credit support and credit services. I was so happy about the credit services Ok so before ending this call may I please request for your valuable feedback on the basis of our conversation? Ok ok. Thank you so much. I'll be transferring the call to the feedback IVR where you can select between 1 to 5. Yeah. Yes yes yes. you have a great day ahead. No, thank  ma'am. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. एक Please press the number on your dial pack to to We won't able to register any input. Please rate your interaction with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. nan Please press the number on your dial pack to You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day. nan"
5d06be9e-0d42-4cb9-b14a-ac937a55c2da,"Good morning. My name is. I am here to assist you. Am I speaking with हेमंत? हां, yes madam. you for confirming your name विमल. As I can see you have raised a concern regarding the payment of rupees ### and you have used credit balance of rupees 2 and the total amount you have paid ####  towards in then get lender on हां. first of part using your HDFC cred UPI. Ok. मैं देख पा रही हूं आपके end से हमारी end से जो है payment 1 march  आपने payment की  mark  settle हो चुकी है Indian gas cylinder क्या अभी तक reflect नहीं कर रहा है amount, correct? उसके लिए आपने हमें screenshot भी share करा है जो आपके Indian gas lender के portal  में payment reflect नहीं हो रही जी. जी बिल्कुल समझ पा रही हूं हेमंत. माफी चाहूंगी असुविधा के लिए  धन्यवाद जो document है  share करने के लिए मैं आपका concern जो highlight कर देती हूं अपनी end से अपनी internal team को Ok. आप call पर बने रहिए मैं highlight कर देती हां जी. nan nan कोई nan हो जाएगा nan का हो जाएगा. nan हां nan nan nan Call पर बने रहने के लिए धन्यवाद हेमंत माफ़ी चाहूंगी लंबे hold के हां जी जी मैंने आपका concern highlight कर दिया अपनी internal team को जो maximum time frame मुझे receive हुआ internal team से वह बारह पांच तक का हुआ Madam बारह March it is too long Yes, I can totally understand हेमंत and really apologize. but  this is the maximum time frame as soon as possible. if you will receive any update from our internal team, we will provide you the same update through the WhatsApp and on your credit application as well. no problem but what I am telling you आपके जो credit website पर लिखा था 48 hours में निकाल देंगे फिर solution  अभी तक आप बारह तारीख होता यह यह बात है. जी मैं आपको बता देती हमारी end से आपका payment settle हो चुका है. तो जो हमारी team  internal team वह अपने end से validate करेंगे आपके document और  bank के end पर confirm करेंगे कि आपकी जो payment वह reflect क्यों नहीं हो रही इसलिए वह जब यह चीज़ चीज़  validate करेंगे उसमें थोड़ा वक्त लगता है. इसकी वजह से हमें maximum time frame receive होता है. यह maximum time frame है  आप निश्चिंत रहिए. priority basis  मैंने highlight किया जितनी जल्दी से हो सके  हम आपको same update provide कर देंगे. ठीक है ma'am. Thank और कुछ जानना चाहेंगे आप credit के regarding? Thank you very much. Ok, call को end करने से पहले क्या मैं आपको छोटे से feedback के लिए request कर सकता हूं जिसमें तीन से पांच second का समय लगेगा. जी मैं आपकी call को हमारी feedback IVR पर transfer करूंगी. आप हमारे बातचीत के basis पर एक से पांच तक के beach में rating दे सकते हैं. एक सबसे कम होगा पांच सबसे अधिक होगा. Credit को choose करने के लिए धन्यवाद. आपका दिन शुभ We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. You have just."
afd43a69-9107-47ef-82e8-c5ee10c6f910,"nan afternoon. This is  I am here to assist you. Am I speaking with खान? हां, yes sir. sir, good afternoon sir. Yeah. Thank you for the confirmation.  As I can check that you have raised a concern related to issue policy document please tell me problem Yeah sir. Yeah yeah. Yeah. Actually, I have been made  payment through my the vehicle insurance. But I have not yet received any documentation like insurance policy I got call today morning that you have made the some confirmation or something like update and Actually I have made during the payment. So I'm not getting  the I'm getting  confused means what to able to assist Right of the car I do understand your concern. I'm really sorry for the inconvenience caused to you. Please do not worry. I will surely try to help you out with as I can check that you have taken the policy from Acko which is a comprehensive policy for the vehicle number   double 5 Yes, sir. Yeah. 9 double 2. 9 triple  Thank you. Yeah,  9 you for the confirmation. So as I can see the policy is not yet issued because the KYC is still pending. for the completion of KYC, I am sharing you the SMS from my end. On that SMS you will receive a link. Yeah please share me the Ok. And once you will click on that, it will redirect you to the credit application and on the application, you will get an option  add attachment. So by clicking on add attachment. I would request you हां sure ok. I have  attached  that PAN and as well as the No, I would like to inform you  the document that you can share for that the options are आधार card which should be unmarked and password free. or else voter ID card both side or driving license outside or the passport 2 pages Yeah, I have आधार have आधार, I will share that with attachment. Ok, no issues. and I would like to inform you, whichever the document will be sharing on that particular document your father name or your mother's name should be mentioned. ठीक है. Ok sir, ok ok. Ok. So, I have already shared you the ok. Thank please share me the Yeah, already shared you the SMS. Could you please confirm me? Have you received You have already been shared. please Yeah   yeah. I got Ok sir. Alright.  So you're most welcome. So is it possible that you can share it right now on the call? Yeah yeah, please share  share the Alright, please do share the document I'm on the call, if you face any issue please do No no no, actually I am making  with my some other person. हां, I will share that late answer. Ok, no issues. If I get any query, I will again call this No issues. once you share the document Sure. Once you share the document our team will get back to you on the Please do not Ok. Apart from this, anything else I can help you regarding No no, nothing sir, nothing thank Alright. So before we end this call, may I request you to share your valuable feedback on the basis of our conversation.  Just take a ठीक है, ok. Awesome. I'm transferring your call to the feedback IVR where you can select between 1 to 5, 5 being excellent and 1 being 4. Thank you for choosing Cred. I hope you have a great We request you to rate your experience with our expert on a scale of 1 to 5. में change किया  गया था  bank"
33170b25-9aca-401c-b620-3fcf3498ea5c,"Good morning. This is साहिल. I'm here to assist you today. Am I speaking with अश्विन Yes hi. dear my order details you for confirming. Yes you have selected 1 order which name of all. Yeah, like long back I tried to yes yes return Still it's every time the guy is coming and just reading is saying he is on a bike whenever the bank comes you can send it, but  whenever came. Ok. Yes. Thank you for confirming Yeah, all next product  Still  still  Ok. Thank you for confirming me अश्विन. I'm sorry for the inconvenience caused to you. Please do not worry. I'm here to help you. Ok? Please do not worry. As I can check in the details that the concern was already forwarded to the internal team regarding your issue, ok? And it was the pickup was canceled that all the attempts were extend customer. Yeah. So the person 1 minute. Yes, correct. Yes, am I audible? nan Yes, as I can check  the details, your concern was already forwarded to the internal team. regarding your pickup was not done within the timeline it was the timeline has been exceeded So the update is came 5 days ago, and we and we have shared you the update that the pickup was canceled as all the attempts were sorted and the customer was not available at the time of the pickup It was rescheduled every single time. It is rescheduled Yeah. I have  I have shared in the reschedule OTP also you want to get on the screenshot. of the rescheduling OTP. Ok. You are confirming me,  it was previously rescheduled That's why it is the timeline has been reached. Right? Yeah, every time the guy came he told he is on a mode cycle for a delivery he can't take this such a big parcel. all he will tell it to the office  Yeah somebody who has  manual come. Ok. no 1 came for the no 1 came for the they came for a pickup, but they told they can't take it back. and yes Yes, I'm listening to you. Please continue. they came for a pickup, they told he is on a motor cycle, we won't be able to take it on a motor cycle, he said when the bank come you can send it on the So he reschedule it every time and then every time he was coming on the the same guy was coming. Ok. Thank you for confirming me. Right? Ok. regarding this, I'm I'm merge your  ticket with the new 1.  for to our confusion. ok? And I'm forwarding your forwarding your concern to the internal team. Ok? So the internal team will reinvesting and we will get back to you with an update. within next 48 hours  WhatsApp notification or you can also check the update in the support section of your credit app, ok? Ok.  Anything else apart from this? No if you want  there is a nearby  we can also drop it  been like line for such a long so many days it's been Ok, no problem. kindly wait for the rate रवि. Ok ok thank Ok. Before we end this call, You're welcome. Before we end this call, may I request you to share your valuable feedback on the basis of our conversation? Ok. Right now, I'm forwarding your call to our feedback IVR where you can select between 1 to 5. 5 being excellent and 1 being poor. Thank you for choosing Cred. I hope you have a great time We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press the number on You have just helped us improve the credit."
11520c16-512e-41c8-b28e-f4f7494b3636,"Very good evening. This is शशि. I'm here to assist you today. Am I speaking with सूरज? Thank you for confirming. I can see your request is regarding the withdrawal of cash. Could you please elaborate the issue so that I can help you regarding the No, I actually asked for a withdrawal of ###and I completed  person came and actually uploaded my pan card and all and photo and also took but my KYC but till now the amount I could not withdraw your KYC First of all, sorry for the inconvenience caused. as you said your KYC has been successfully done. Yes. Actually, that person told me that your KYC is complete and then it went into process but now amount has not come. Ok, so sorry for the issue have been faced. As I can check from my side, you have tried to withdraw ###of the cash, right? Yes yes. it's instant fourth mark 6 45 PM just try to हां. and I can see that this process has been still in processing mode. but I can't see anything or  in my Yes, I could understand but in our side I can see the amount is in processing mode and hence you have didn't received the fund right now. So I would like to wait I would like to request you to wait till 24 hours to get updated for that. Because  this is a rare site where the cash has not been going through account immediately as  always Ok ok. was amount instantly. But due to some of the issue maybe got stuck  in the processing person I would like to request you for 24 hours when it will be updated if after 24 hours we have didn't receive the So you can contact us back with the statement so we can check and validate that the issue has occur how Is there anything else I can help with you today? No no, nothing. Great, before we end this call, may I request you to share your valuable feedback basis on our conversation? nothing. this is a good conversation. Ok. Just I will transfer your call to the IVR feedback where you can have to select 1 to 5 where 5 is being excellent and 1 mean you for choosing Cred. I hope you have a great day. Thank We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. Please press the number on your dial pack to You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
727a8769-3a93-451d-a837-91f903ddbc0a,"Good morning. This is  I am here to assist you. Am I speaking with रोहित? Hi रोहित. So you have reached out to us with the concern stating that there was a item which you have purchased and you are facing some issues with the Yeah, I have ordered 3 products, still haven't been delivered every time this happened there. Every time Ok. 3 products, 1 is the  other pay. हां, ok. they are not even moving I got a call that they when I have written my correct address They tell me, you don't stay  I mean, Ok. I got your point. Yeah. I mean, you don't know what they  and and then they put a note that the customer on pick up or he was not there. It was nothing I apologize Ok. I really apologize I send car he called me Like up loan call में रहते हैं मतलब I don't  loan It's been a I have already made the payment at least  should see the product is moving or I got your point. I'm sorry for that inconvenience but I will help you out with that please don't worry. I would like to inform you that may be due to some technical issue or the unfortunate issue by the logistics they are not delivering to the product at the particular location. I would request you to please wait. the expected delivery date for for all the 3 items is within fifth and sixth of March. Please wait till sixth of March the logistics will definitely nan nan if it doesn't come on fifth of it, then cancel all the products. Yeah, I cannot wait then I would request you. Ok then I would request you to please reach out to us post sixth of March will help you out by raising the concern to the backend team for further validation. and change the logistics partner because every time from this delivery they have some issues they don't Ok. Ok. deliver they will deliver as per their  that doesn't work with me. you cannot take 10 10 days in today's time to deliver the product. Ok. Definitely. Your correct. where you get in 10 minutes  for 2 days, max  10 days ok. You cannot say that and I have when I have written the address it's not, I am staying in some villa or something saying in Bombay car everyone comes I am sorry for I got your point. I'm sorry for that inconvenience. Please don't worry. I completely take it as a feedback. We'll definitely improve this for the future. Not an issue. Apart from this, is there anything  help But can you check there is not moving also, all the 3 products, I would request you to please wait till sixth of March. will help you out in the concern post expected delivery date Then only we will be getting an option available. Ok. Thank you so much. So is there anything else I may help But put a note also that it's not moving what is the update, ok? They have just left  tracking Ok. it's showing first march but today is only fourth month. Ok. Ok. I take it as a feedback not an issue. Ok. So before we end this call may I request you to share your valuable feedback on the basis of the conversation. Thank you. I'll be transferring the call to the feedback IVR. You can rate between 1 to 5. 1 being poor and 5 being excellent. Thank you for choosing. Hope you have a great day. Yes. We request you to rate your experience with our expert on a scale of 1 to 5 with you have just helped us improve the credit experience for all"
0fb2cc5a-9d80-4510-9239-d58de5c5fcaf,"Good morning and अंशिका I am here to assist you today. Am I speaking to शुभम Yes. Thank you for the name confirmation शुभम. I see that you have raised a concern regarding the outstanding payment or ICICI credit card, right? No. Understood. Very sorry for the inconvenience that you are facing. Don't worry, I'll surely help you out. I have understood your concern शुभम. This ICICI credit card triple 0 9 ending digit We are fetching the statement via SMS all the statement sent to you from your bank side on SMS. We fetched from there and display here. So on the basis of the statement of 20 for with due date  March. Total amount due for this credit card is shown to us 25 20 rupees and 9  0 9  It is showing as full paid. So is it शिवम is it not showing the same in your ICICI credit card application? I'm in the mobile app, Alright. also I see that on 28 say you made the payment of 300 Ok, that is for access card on 28 of day, you made payment towards ICICI 4 double  7. So have you made any recent payment of 2 2  9 पैसे Ok, allow me a moment. I am checking the details. Yeah, शिवम. I see that on 28 February ###pm for this credit card you made the payment of same amount #### rupees  0 9  using 6 rupees from credit balance as well as the payment source was ICICI savings account   ending digit and payment is successfully completed from our side. So it is not reflecting at the biller side. at your sorry, credit card application side. So I would like to ask you but previous payment for this credit card successfully posted and shown to This is the first time it is happening because the payment has been settled but it is not showing in your credit card application. So I would suggest you that you will see UPI ID and BPPS ID for the same transaction of 28 every These are the strong proof that payment has been successfully completed. So I request you kindly communicate with your credit card issue bank on the call will or if you visit them physically you can go ahead. So I am requesting kindly communicate with your credit card issue  bank using this UTR ID and  ID. They will raise the payment for you and update in their systems as well. Because why why the changes happening? I see that payment you made on fourth Saturday and bank fourth Saturday, second Saturday Sunday and bank holiday are not considered as working day by the bank by the bank side and first March was again a banking holiday due to Sunday and third March again it  was a bank holiday that bank holidays. So credit card is  bank are taking transaction plus 2 working days to reflect the payment on their credit card which is ending on the 2 working days are ending today day end. So I'm requesting you kindly wait for today's date. the ending time that is ###PM. till this time your payment should be reflecting in your credit card. Because credit card  bank take the transaction plus 2 working days time frame. So if you face any more discipline further you can raise a call me now request to us. We will surely assist you related to this. Ok? you for understanding related to credit do you have any other concern No no Alright. Alright. So before we end the call, शुभम may I request you for a small feed small feedback based on our conversation? Thank you. I am transferring this call to feedback IVR. You will here a miss generated voice. Kindly from 5 to 1, 5 is for excellent 1 is for  and thank you for choosing Cred शुभम. I wish you and your family members  very happy and safe only. Thank We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being. You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day."
895ec893-7e66-4f0b-8605-2003e06e8a6d,"Good morning. This is. May I assist you today? Am I speaking with ओम? Yes speaking. May I know you nan रंजीत. Yeah, रंजीत. and my car insurance was expiring in 2 days. So I have renewed my car insurance through credit Ok. Ok. Yes, I can see that you have  purchased insurance policy and format today only comprehensive policy by need India for your vehicle number ending with ###. it is not PS. So where I will get that paper insurance paper. getting your concern. Sorry for the inconvenience and I will surely help you out regarding this issue. Actually,  I would like to confirm from you that have you tried doing the KYC process through the credit application. nan KYC process. हां. Yes. I think I have done it Ok. I mean are you facing any issue with that or is it showing successful Yeah it was showing success Ok. Please allow me a moment. I'm checking your details regarding that. And for that, may I please put your call on hold for 1 minute? Yeah yeah, please. Please be on Yes. give  me back to nan regarding your insurance policy, I have actually raised your concern to our internal team regarding your policy activation and would request you to please allow us some time on or before tenth of March You will get  updated from our end. The update for the update you'll receive WhatsApp notification and you may check the exact update in the support section of credit application. Yes yes. But my policy is expiring on sixth ना if you make it  in between how I should manage understanding that your issue.  I can mention here as a note over here that your previous policy  is expiring on sixth of March Actually tenth of March is maximum timeline. And in general it  is not take that much long time. That's why I would request you as early as possible, our team will give you update on this. And as a note also  mentioned that your previous policy is expiring on nan So that our team check into it and add as soon as possible they give you update Thank you so much for your patience. Is there anything else that I can assist you with related to credit Nothing. Thank Welcome and before we end this call may I request you if you can share your valuable feedback on the basis of our conversation? Thank you so much for your feedback I'm transferring this call to feedback IVR and there you can give rating between 1 to 5.  5 is excellent and 1 is 4. Thank you so much for choosing Cred. I hope you have a great day. जो We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns."
7d2da038-64e0-4380-9c82-7a955e6fe8b3,Good evening this is  I am here to assist you today. Am I speaking with अंदर? जी मैंने payment किया मैं आपका concern समझ पा रही हूं आप please एक बार confirm कर सकते हैं क्या मेरी बात चंद्र से ही हो रही जी नाम confirm करने के लिए धन्यवाद check कर पा रही हूं आपने payment किया था rupees 15000 का. विक्रम सिंह को ऐसा education payment fourth of match payment ICICI के credit card से किया था ending digit है ### जो कि हमारी तरफ से successfully completed हो चुकी है पर अभी तक आपको उसकी confirmation नहीं receive हुई है जी. जी मैं असुविधा के लिए माफ़ी चाहूंगी पर निश्चिंत रहिए हम ज़रूर सहायता करेंगे. मैं आपसे request करूंगी कि आप please 24 hours का wait कर लीजिए. और चौबीस घंटे के अंदर आपको जो है payment की जो confirmation है हमारी तरफ से receive हो जाएगी. मैं आपसे request करूंगी कि आप last time frame का wait कर लीजिए. मैं कोई और सहायता कर सकती हूं आपको credit के regarding? No no ma'am thank you. Welcome आपसे बात करके अच्छा लगा. Call खत्म करने से पहले क्या मैं आपसे एक छोटी सी feedback के लिए request कर सकती हूं बातचीत के basis जी जी जी. जी तो अभी मैं आपके call को feedback IVR पर transfer करूंगी. एक से पांच तक की आप rating दे सकते हैं. एक सबसे कम और पांच सबसे ज़्यादा. Cred को चुनने के लिए धन्यवाद. आपका दिन शुभ हो. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being poor and 5 being excellent. nan Please press the number on your dial pack to और भी  confirm करना madam. We won't able to register any input. You have just helped us improve the credit experience for all our members. Do reach out again in case of any other concerns. Thank you and have a good day.
a51be59e-cb2a-47fc-8d6c-f9a616b39508,"evening. This is मोहम्मद I'm here to assist you today. Am I speaking with अतुल? Yes. So, I was having an offer of personal loan of BC credit So just wanted to confirm what is the processing fees Yes yes. Ok, as I can check that  limit is given to  from the  bill  finance limited. But you want to know the processing fee. Am I right? Actually actually the processing fee will depend on specific for specific within your app. You can see, we don't have any visibility for that, but you can see in your app whenever trying to withdraw, you can do when you do the every procedure Yes. No, but it is it is just showing me the amount the loan. and there is no mention of processing fees Yes yes I can understand but when you are trying to withdraw you can do the every procedure from your end on the loan  overview that overview page you can see everything from your end. Currently, we don't have any visibility for that, but it's everything systematic all generated. It will depend on specific offers display to you in your application. So  that processing fees would be deducted from my loan amount or before end or it would be how will it be adjusted or it will be adjusted in the first EMI. Yes yes, the amount will be the sanction I mean, the total offer is given to you. Within that amount, the processing fees included and and the normal amount is loan amount will be  loan amount will be transferred to your within that amount. You're most welcome. So is there anything else I can help you with apart from this सु No. Thank So also before we end this call, may I just request you to share a valuable feedback on just basis of our conversation? So I'm transferring your call to our feedback IVR where you can select between 1 to 5. 5 being  being 4. Thanks for choosing I hope you have a wonderful day. Take care. We request you to rate your experience with our expert on a scale of 1 to 5 with 1 being. You have just helped us improve the Cred experience for."
